prob,escapes,noescapes
0.9722,35,1
0.9167,33,3
0.8333,30,6
0.9444,34,2
0.75,27,9
0.7778,28,8
0.7778,28,8
0.7222,26,10
0.7778,28,8
0.7222,26,10
1,36,0
0.8611,31,5
0.9167,33,3
0.8056,29,7
0.8889,32,4
0.7778,28,8
0.8611,31,5
0.8333,30,6
0.8333,30,6
0.75,27,9
0.8889,32,4
0.8333,30,6
0.8056,29,7
0.75,27,9
0.6111,22,14
0.6389,23,13
0.5,18,18
0.3889,14,22
0.2778,10,26
0.3889,14,22
0.9444,34,2
0.8889,32,4
0.7778,28,8
0.6667,24,12
0.6389,23,13
0.6944,25,11
0.6389,23,13
0.6389,23,13
0.5833,21,15
0.5556,20,16
