loom,response,speed,isi
1,0.9722,fast,short
2,0.9167,fast,short
3,0.8333,fast,short
4,0.9444,fast,short
5,0.75,fast,short
6,0.7778,fast,short
7,0.7778,fast,short
8,0.7222,fast,short
9,0.7778,fast,short
10,0.7222,fast,short
1,1,fast,long
2,0.8611,fast,long
3,0.9167,fast,long
4,0.8056,fast,long
5,0.8889,fast,long
6,0.7778,fast,long
7,0.8611,fast,long
8,0.8333,fast,long
9,0.8333,fast,long
10,0.75,fast,long
1,0.8889,slow,short
2,0.8333,slow,short
3,0.8056,slow,short
4,0.75,slow,short
5,0.6111,slow,short
6,0.6389,slow,short
7,0.5,slow,short
8,0.3889,slow,short
9,0.2778,slow,short
10,0.3889,slow,short
1,0.9444,slow,long
2,0.8889,slow,long
3,0.7778,slow,long
4,0.6667,slow,long
5,0.6389,slow,long
6,0.6944,slow,long
7,0.6389,slow,long
8,0.6389,slow,long
9,0.5833,slow,long
10,0.5556,slow,long
